,num_rooms,num_people,housearea,is_ac,is_tv,is_flat,ave_monthly_income,num_children,is_urban,amount_paid
110,1,7,580.33,No,Yes,Not Flat,30949.12,1,Rural,1416.0051068999999
111,1,4,751.24,No,Yes,Flat,24104.97,2,Urban,2505.5926062
112,1,9,835.06,No,Yes,Flat,27876.39,2,Urban,2266.6133517
113,1,2,984.48,Yes,Yes,Flat,29999.75,2,Urban,2520.8129085
114,1,6,900.96,No,Yes,Not Flat,12476.47,1,Urban,1960.9649454
115,2,4,701.95,No,Yes,Flat,31473.06,2,Urban,2484.8423586
116,1,6,719.2,No,Yes,Not Flat,31574.87,1,Urban,1625.5643736000002
117,2,4,742.02,Yes,Yes,Not Flat,28730.32,1,Rural,1810.0931480999998
118,2,3,776.74,Yes,Yes,Flat,28498.21,1,Urban,2532.1129839
119,3,2,651.79,No,Yes,Not Flat,31858.78,0,Urban,1531.2841887
120,2,6,824.89,Yes,Yes,Flat,22751.5,0,Urban,2008.1125581000001
121,-1,2,638.39,No,Yes,Not Flat,26305.76,2,Urban,2026.4497631999998
122,2,5,1076.14,No,Yes,Flat,34651.95,2,Rural,1675.2631473000001
123,3,7,579.55,Yes,Yes,Flat,23892.45,0,Rural,1373.2088868
124,2,4,777.33,No,Yes,Not Flat,20522.84,1,Urban,2112.9504519
125,2,0,549.85,No,No,Not Flat,23928.25,2,Urban,1833.7739139
126,1,6,764.09,Yes,No,Flat,18017.78,2,Rural,1815.7623062999999
127,2,6,879.51,Yes,Yes,Flat,22013.63,0,Rural,1267.6900086
128,2,6,671.88,No,No,Flat,14134.17,1,Urban,1690.6241679
129,2,7,887.91,Yes,Yes,Not Flat,20988.27,0,Urban,2174.5558515000002
130,3,4,699.8,No,Yes,Flat,12241.93,0,Urban,1479.7697022
131,1,6,850.87,Yes,Yes,Not Flat,3776.08,0,Urban,1956.8815650000001
132,1,11,946.74,No,Yes,Flat,28819.03,2,Urban,2190.2715264
133,3,7,549.72,No,Yes,Flat,41533.34,1,Rural,1670.4793212
134,0,5,755.03,No,Yes,Not Flat,19693.19,1,Rural,785.8399224
135,2,6,828.63,Yes,Yes,Flat,10699.02,2,Urban,2509.24401
136,1,5,323.95,No,Yes,Not Flat,26295.5,1,Urban,1516.3309428
137,3,6,683.29,No,Yes,Flat,23182.8,1,Rural,1523.9736192
138,2,5,557.23,No,No,Not Flat,19273.03,0,Rural,591.2013435
139,2,4,683.02,Yes,Yes,Flat,29193.07,1,Rural,1818.399309
140,4,4,840.2,Yes,Yes,Not Flat,33580.57,0,Urban,1959.7522565999998
141,1,8,970.75,No,Yes,Not Flat,32285.37,0,Rural,1103.904123
142,3,2,929.79,Yes,No,Flat,24110.05,2,Rural,1964.9788794
143,1,5,692.13,No,Yes,Not Flat,26348.19,2,Rural,1470.3530799
144,1,1,878.83,No,Yes,Not Flat,34531.17,1,Rural,1115.1343656
145,3,7,572.78,Yes,Yes,Flat,34099.98,1,Rural,1541.7843831
146,2,4,840.06,No,Yes,Flat,20857.83,2,Urban,2339.5770603
147,2,2,765.99,No,Yes,Not Flat,21128.67,2,Rural,1411.4239086
148,2,6,627.91,Yes,Yes,Flat,21104.1,3,Rural,2470.885482
149,3,6,884.14,Yes,Yes,Flat,25621.9,0,Rural,1840.4676057000001
150,3,6,776.99,Yes,Yes,Not Flat,15962.89,1,Rural,1551.7479759
151,2,8,567.36,Yes,Yes,Flat,12522.58,1,Urban,2689.9524741
152,1,5,870.71,No,Yes,Flat,29910.62,3,Urban,2436.3636447
153,2,4,1177.7,Yes,Yes,Flat,19366.43,3,Urban,2952.8065302
154,1,5,950.5,No,Yes,Flat,15450.66,0,Rural,1244.1469827
155,1,2,817.61,No,Yes,Not Flat,38734.51,1,Urban,1866.1487862000001
156,1,7,658.86,No,Yes,Flat,35701.06,1,Rural,1602.5298500999997
157,3,7,764.33,No,Yes,Flat,31872.19,2,Rural,1711.2690438
158,3,2,1005.38,Yes,Yes,Flat,33346.93,1,Urban,2263.8818382
159,1,3,968.28,No,Yes,Not Flat,32258.4,2,Urban,2445.1765689
160,2,3,800.96,No,Yes,Not Flat,30971.97,2,Rural,1366.0428141
161,2,3,564.17,Yes,Yes,Flat,16354.79,0,Urban,1830.2546028000002
162,1,5,752.39,No,Yes,Flat,35560.75,1,Urban,1768.3324794
163,2,4,771.59,No,Yes,Flat,25489.96,1,Urban,1805.3130858
164,2,4,1069.32,No,Yes,Not Flat,12435.65,1,Urban,2060.2914051000002
165,3,5,836.5,No,Yes,Flat,28629.77,2,Urban,2586.6527175
166,3,5,934.82,No,Yes,Not Flat,24210.55,0,Urban,1781.3071581
167,2,3,760.75,No,Yes,Not Flat,32129.77,3,Rural,1636.8258039000002
168,1,7,665.07,No,Yes,Not Flat,42115.1,1,Urban,1728.8591769
169,1,4,704.72,No,No,Not Flat,20191.55,1,Urban,1502.4632898
170,4,-1,1058.32,Yes,No,Not Flat,17182.76,4,Rural,1796.8145514000003
171,2,4,883.45,No,No,Not Flat,22813.35,2,Rural,1117.3313274000002
172,1,6,626.75,No,Yes,Not Flat,31028.6,3,Rural,1373.3309913
173,2,5,635.28,No,Yes,Not Flat,32315.58,1,Urban,1702.0315131
174,1,5,574.3,No,Yes,Not Flat,11962.93,0,Urban,1287.7915371
175,1,3,813.06,Yes,Yes,Flat,31780.33,2,Urban,2726.524641
176,2,7,911.98,No,Yes,Not Flat,26336.01,2,Urban,2384.5317047999997
177,2,4,880.15,No,Yes,Not Flat,22242.58,2,Urban,1850.6475060000002
178,2,7,931.86,No,Yes,Not Flat,24697.02,0,Urban,1725.5905056000001
179,2,6,809.69,No,Yes,Not Flat,18617.69,1,Rural,934.2483894000001
180,2,3,786.46,No,Yes,Not Flat,31008.24,3,Rural,1402.435809
181,-1,8,801.48,Yes,Yes,Not Flat,22003.44,2,Urban,2880.9392592
182,1,4,748.04,Yes,Yes,Flat,16081.34,0,Rural,1146.1891863
183,1,5,670.5,Yes,No,Flat,-1013.85,2,Rural,1585.9591136999998
184,2,6,548.96,No,Yes,Not Flat,31400.35,2,Rural,1457.2159488
185,2,5,569.94,No,No,Flat,19983.43,1,Urban,1688.8655036999999
186,2,3,731.05,No,Yes,Flat,21571.95,1,Rural,1438.667586
187,1,4,1035.94,Yes,Yes,Not Flat,38030.46,1,Urban,2465.0866563
188,1,1,799.66,No,No,Not Flat,21299.68,1,Rural,831.5495897999999
189,2,5,843.85,No,Yes,Not Flat,19607.07,0,Rural,920.9882964000001
190,2,6,928.7,No,Yes,Flat,31689.0,1,Urban,2378.4485652
191,2,9,856.5,No,Yes,Not Flat,18043.09,1,Urban,1618.9145559
192,1,5,767.79,No,Yes,Not Flat,28953.16,0,Rural,550.3509702
193,2,7,996.66,Yes,Yes,Not Flat,30070.15,0,Urban,1856.2535381999999
194,4,8,795.46,Yes,No,Not Flat,26405.81,1,Urban,2307.3217403999997
195,4,9,678.47,No,No,Not Flat,30465.27,2,Urban,2120.6978085
196,2,8,861.31,Yes,Yes,Not Flat,24174.71,1,Rural,1920.5539497
197,3,5,819.68,Yes,No,Not Flat,10547.98,0,Urban,1758.3991722
198,0,3,766.53,No,Yes,Flat,25372.96,1,Rural,901.3199514
199,4,2,834.13,Yes,Yes,Not Flat,32820.26,0,Rural,1359.2877306
200,3,0,618.91,Yes,Yes,Not Flat,19943.2,0,Urban,2127.2232681
201,1,4,942.95,No,No,Not Flat,23348.8,1,Urban,1952.7459069000001
202,1,6,1002.71,No,Yes,Flat,26478.15,2,Rural,1262.5098008999998
203,2,8,834.85,No,Yes,Flat,16956.43,0,Rural,908.681742
204,2,7,868.06,Yes,No,Not Flat,26477.51,0,Urban,1655.3634180000001
205,1,5,684.37,Yes,No,Flat,33920.09,0,Urban,1712.5297875
206,1,4,691.12,Yes,Yes,Not Flat,47090.5,0,Urban,2094.198885
207,4,4,801.12,No,Yes,Not Flat,11182.68,2,Urban,1819.1824665
208,2,7,825.89,No,Yes,Not Flat,35389.76,0,Urban,1605.2056026
209,0,5,606.3,Yes,Yes,Flat,23623.36,1,Rural,1676.2279143
210,2,7,1046.44,No,Yes,Flat,28452.41,1,Urban,1891.8936048
211,1,3,550.83,No,Yes,Not Flat,27439.6,2,Urban,1759.4215386
212,2,2,670.35,No,Yes,Flat,16868.7,2,Urban,2007.1236207000002
213,2,3,800.93,Yes,Yes,Flat,26743.0,0,Urban,2239.554384
214,2,6,881.87,Yes,Yes,Not Flat,8927.86,0,Urban,2160.3279954
215,3,5,772.83,No,Yes,Flat,31214.57,0,Urban,1974.7892502
216,1,3,730.49,No,No,Not Flat,29719.32,1,Urban,1648.6361190000002
217,0,4,844.57,Yes,Yes,Not Flat,26500.91,1,Urban,2642.4702474
218,4,2,737.62,Yes,Yes,Flat,35443.13,3,Urban,3056.4216239999996
219,2,6,643.98,No,No,Flat,20385.97,0,Urban,1372.5721862999999
220,1,5,587.1,No,No,Flat,12899.98,1,Urban,1593.8558262000001
221,3,9,681.31,No,No,Flat,36553.92,1,Rural,1090.181172
222,0,4,857.96,No,Yes,Not Flat,13955.21,0,Rural,900.4850391
223,3,6,792.56,No,Yes,Not Flat,23087.74,2,Urban,2438.5282827
224,1,3,938.51,Yes,Yes,Not Flat,17284.03,2,Rural,1485.3073953
225,3,6,865.67,No,Yes,Flat,35757.27,0,Rural,1180.8675888
226,3,5,1087.35,No,Yes,Not Flat,38651.2,1,Urban,1987.6357746
227,3,8,669.97,No,Yes,Not Flat,22952.21,1,Urban,1660.3391463000003
228,1,5,635.28,No,Yes,Flat,21549.44,1,Rural,1445.7765915
229,1,4,608.51,No,Yes,Not Flat,34811.43,2,Urban,2330.9046906
230,2,9,937.63,No,Yes,Flat,10770.83,2,Urban,2508.2275101
231,2,5,904.92,Yes,Yes,Not Flat,5801.91,0,Urban,2132.0291616
232,1,7,788.73,No,Yes,Flat,15850.7,0,Urban,2030.7759792000002
233,2,1,939.97,No,No,Flat,27136.17,1,Rural,1161.9698919
234,1,6,895.91,No,No,Not Flat,18822.41,1,Rural,666.6742892999999
235,2,4,690.85,Yes,Yes,Flat,10227.04,0,Urban,2441.9676897
236,1,5,888.32,No,Yes,Flat,36802.71,1,Urban,1809.3688806
237,2,4,549.95,No,Yes,Not Flat,34362.91,1,Urban,1817.8785014999999
238,0,5,1046.68,Yes,No,Flat,21197.44,1,Urban,2405.1546482999997
239,4,4,869.29,No,Yes,Not Flat,7682.1,1,Urban,1602.4440359999999
240,3,3,927.71,No,Yes,Flat,28285.37,0,Urban,1744.1275212
241,2,3,1102.5,No,Yes,Flat,20783.2,1,Rural,1227.3722361
242,1,5,1031.06,Yes,Yes,Not Flat,38350.58,3,Urban,3199.783275
243,3,3,769.77,No,Yes,Not Flat,15884.25,2,Rural,1610.4576125999997
244,1,5,658.94,No,Yes,Flat,28110.64,2,Urban,2456.4603380999997
245,3,4,660.55,No,Yes,Flat,43636.94,0,Urban,1849.2369852
246,2,7,664.49,Yes,Yes,Not Flat,33094.49,1,Rural,1770.2453805
247,1,6,701.3,No,Yes,Not Flat,37684.67,0,Rural,752.7939552
248,2,5,963.07,No,Yes,Not Flat,44918.46,2,Rural,1482.0567243
249,3,5,993.23,No,Yes,Not Flat,31536.8,1,Urban,2256.0281247000003
250,2,7,974.28,Yes,No,Flat,9282.02,0,Urban,1892.6858226
251,2,3,731.11,No,Yes,Flat,20693.18,0,Rural,735.6730224
252,4,1,862.33,No,Yes,Not Flat,20098.58,1,Rural,818.5950791999999
253,1,2,708.64,Yes,Yes,Not Flat,34663.71,1,Rural,1686.1664747999998
254,1,5,612.54,No,No,Flat,20217.23,2,Rural,1326.3505632000001
255,1,7,840.81,No,No,Not Flat,30684.89,0,Rural,679.3669278
256,1,2,680.57,Yes,Yes,Flat,4884.15,0,Urban,1853.4942578999999
257,2,8,790.51,Yes,Yes,Not Flat,24854.53,1,Urban,2716.2848985
258,0,6,979.89,Yes,Yes,Not Flat,14522.36,3,Urban,2743.8485274
259,2,4,972.95,No,Yes,Flat,34625.01,3,Urban,2487.8740577999997
260,3,2,676.98,No,Yes,Not Flat,22900.94,2,Urban,2134.696248
261,2,3,581.22,No,Yes,Not Flat,29023.85,1,Urban,1718.1265433999997
262,3,5,1166.71,Yes,Yes,Flat,13738.55,1,Urban,2780.1914559
263,2,2,924.17,No,Yes,Not Flat,16058.13,0,Rural,839.2315182
264,2,4,996.35,Yes,Yes,Flat,37360.13,1,Rural,1713.6542433
265,3,6,1097.89,No,Yes,Flat,22277.67,2,Urban,2127.9294414
266,2,6,548.8,No,Yes,Not Flat,27080.23,2,Rural,1631.8062552000001
267,3,7,981.26,No,Yes,Flat,-526.54,3,Urban,2350.5767355000003
268,0,4,904.53,Yes,Yes,Flat,56531.08,0,Rural,1749.7194525
269,2,4,835.05,Yes,Yes,Flat,-90.52,0,Urban,2383.842
270,3,6,786.93,No,Yes,Flat,17196.35,0,Urban,1706.0358207
271,0,4,1185.36,No,Yes,Flat,28864.24,0,Urban,1986.4181847
272,2,4,534.15,Yes,Yes,Not Flat,24618.26,1,Urban,2047.2271896
273,2,6,700.94,Yes,Yes,Not Flat,18591.7,0,Urban,2037.4443144000002
274,2,6,662.82,No,Yes,Flat,20919.1,2,Urban,1969.3727006999998
275,2,7,860.15,No,Yes,Not Flat,39465.64,2,Rural,1527.0874764
276,4,7,709.59,No,Yes,Flat,18900.25,1,Rural,1052.4339731999999
277,0,9,843.85,No,No,Flat,22729.18,1,Urban,1731.7668198
278,1,6,948.47,No,Yes,Not Flat,25758.26,2,Rural,1422.5284653
279,2,6,750.79,No,Yes,Flat,22787.4,3,Urban,2664.6290922
280,3,3,571.3,No,Yes,Not Flat,27899.3,0,Rural,884.0871525
281,3,5,942.5,Yes,No,Flat,15292.0,0,Rural,1202.1790005
282,2,1,560.7,Yes,Yes,Not Flat,26586.82,1,Rural,1370.587653
283,1,6,701.89,No,Yes,Flat,32896.78,0,Rural,1098.0371049
284,3,5,1074.9,No,No,Flat,26420.49,1,Rural,927.9240755999999
285,1,7,892.85,No,Yes,Flat,15912.6,1,Rural,1121.6188413
286,1,8,848.04,No,Yes,Flat,18347.8,1,Urban,2089.8935565
287,2,4,749.44,No,Yes,Flat,21510.21,2,Rural,1449.3220466999999
288,3,7,754.59,Yes,Yes,Not Flat,30996.0,1,Rural,1568.5344536999999
289,1,4,821.37,No,No,Flat,14991.02,0,Urban,1390.5969924
290,3,7,916.95,No,Yes,Flat,19975.74,2,Urban,2348.2024059
291,2,6,898.26,Yes,Yes,Flat,15825.46,0,Rural,1573.6150188
292,2,5,593.12,Yes,Yes,Flat,25339.76,1,Urban,2342.8578975
293,3,2,752.36,No,Yes,Flat,9371.77,3,Rural,1827.2249454000003
294,1,3,757.73,Yes,Yes,Not Flat,22432.58,2,Urban,2746.4083632
295,4,8,635.78,No,Yes,Flat,24609.66,0,Rural,1297.0021065
296,3,6,676.79,No,No,Flat,21962.35,1,Urban,1749.8671566
297,3,7,827.01,No,Yes,Flat,26537.74,0,Rural,1296.8020716
298,2,7,606.43,Yes,Yes,Not Flat,16225.94,2,Urban,2551.3868094
299,0,1,557.07,Yes,Yes,Flat,7525.82,1,Urban,2400.3238302
300,1,4,942.08,No,Yes,Flat,27218.13,1,Urban,1848.2834807999998
301,1,6,833.6,No,Yes,Not Flat,28663.06,0,Urban,1643.7949458
302,2,8,813.67,Yes,Yes,Flat,15648.87,2,Rural,1865.0956323
303,2,6,361.13,No,No,Flat,28218.63,1,Rural,1325.6217876
304,2,5,711.94,No,Yes,Flat,19210.78,1,Rural,1255.5247548
305,1,7,696.3,No,Yes,Not Flat,30768.18,1,Urban,1597.4483781
306,2,6,599.88,No,Yes,Flat,24223.48,0,Urban,1482.4227951
307,1,7,661.46,No,Yes,Flat,31908.08,1,Rural,1332.8108940000002
308,3,6,704.81,No,Yes,Not Flat,20227.31,0,Rural,568.305168
309,2,4,828.85,No,Yes,Not Flat,-1048.77,2,Rural,1147.8866931
310,2,7,915.66,No,Yes,Not Flat,8824.44,0,Urban,1310.2643604
311,0,4,906.78,No,Yes,Not Flat,24609.42,2,Urban,2381.2062723
312,3,4,916.19,Yes,Yes,Not Flat,19258.73,2,Urban,2915.0454296999997
313,3,8,631.54,No,Yes,Flat,12107.02,1,Urban,2268.2616906000003
314,1,4,802.95,No,Yes,Not Flat,47110.28,1,Rural,1230.9199785
315,2,1,597.39,Yes,Yes,Not Flat,20184.42,1,Urban,2307.1729836
316,3,9,744.67,Yes,Yes,Flat,26095.19,1,Urban,2365.3610988
317,0,2,840.99,Yes,Yes,Flat,26297.68,2,Rural,1991.5054175999999
318,1,6,1066.39,Yes,No,Flat,47483.47,1,Urban,2246.4271755
319,3,5,820.39,No,Yes,Flat,9501.99,2,Urban,2361.7631825999997
320,3,7,824.91,Yes,No,Not Flat,20618.16,3,Urban,2793.0427176000003
321,0,2,702.84,No,No,Flat,23958.43,0,Urban,1425.0763241999998
322,2,2,653.43,Yes,No,Flat,25127.72,1,Urban,2307.0655254
323,2,5,663.28,No,Yes,Flat,32704.18,1,Urban,1951.3998738
324,0,5,780.22,No,Yes,Flat,14164.11,2,Urban,2455.0888344
325,2,6,911.58,Yes,No,Flat,36316.9,1,Rural,1425.2332188
326,2,5,244.4,Yes,No,Flat,39823.7,2,Urban,2576.0150631
327,2,5,674.53,No,Yes,Not Flat,16451.23,0,Rural,490.0943142
328,3,5,1019.52,Yes,Yes,Flat,21532.89,1,Urban,2281.5729125999997
329,1,1,515.34,No,Yes,Flat,11753.98,0,Urban,1380.3318252
330,1,5,584.85,No,No,Not Flat,2108.61,0,Urban,1322.4373494000001
331,4,7,900.39,Yes,Yes,Not Flat,22294.67,1,Urban,2650.8354507
332,4,6,829.15,Yes,Yes,Not Flat,18777.36,2,Urban,2499.5686491
333,2,4,814.28,No,Yes,Not Flat,34929.14,1,Rural,1256.3497437
334,1,8,895.34,Yes,Yes,Not Flat,36314.02,1,Rural,1598.1648045000002
335,2,6,911.72,Yes,Yes,Flat,24762.94,0,Urban,2537.9092668
336,4,7,770.68,Yes,No,Not Flat,24871.18,0,Urban,2142.6290550000003
337,1,3,824.05,No,Yes,Not Flat,38321.36,3,Urban,2352.3778137
338,5,3,750.58,No,No,Not Flat,13397.44,0,Urban,1318.7730129000001
339,1,9,835.59,No,Yes,Not Flat,44083.19,0,Urban,1740.3783105
340,1,2,791.78,Yes,Yes,Not Flat,27267.91,2,Urban,2647.8603891000002
341,3,5,879.29,Yes,Yes,Not Flat,24582.51,3,Rural,2246.6676144000003
342,0,4,1116.41,No,Yes,Flat,19658.51,3,Rural,1756.7313282
343,2,3,698.84,No,No,Not Flat,26577.03,1,Urban,1326.678753
344,2,5,842.02,No,Yes,Flat,36015.54,2,Urban,2513.4317688
345,2,6,787.1,No,Yes,Flat,29109.56,4,Rural,2410.5101879999997
346,4,3,720.31,Yes,No,Flat,22691.55,2,Urban,2547.8557083
